example_id,batch,split,text,annotator1_t1_label,annotator2_t1_label,annotator3_t1_label,annotator1_t2_label,annotator2_t2_label,annotator3_t2_label,label
102,part3,train,"Statements made by Israeli Statesmen, military figures, and Knesset members suggest they're not targeting Hamas but aiming to cause massive destruction ... examples include saying they would have another Nakba, bomb them three generations back, and turn Gaza into tents.","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",4,4,4,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
103,part3,train,"No one except the most extreme doesn't condemn kidnapping people. What people are doing is explaining to you why this happened so that you can prevent it from happening in the future.

From a purely military perspective, had they not taken hostages what do you think Israel would have done? Leveled Gaza. instead they took prisoners into Gaza and now Israel is forced to do a ground invasion which will be costly on both sides as they have to do street to street urban warfare. The bloodiest form of conflict. Perhaps the fact that Israel disproportionately responds led them to that sort of action.

Why do you think the people of Gaza elect a far right jihadist regime? Do you think most people like living under theocracy? Its because you look over at the West Bank who chose ""peaceful coexistence"" and they are being ethnically cleansed by illegal settlers. Hamas is the only group willing to fight back against occupation, so people who feel desperate and like no one is willing to fight for them choose the only option they have. If the soviet union invaded America and occupied American towns and locked all the last americans into an open air prison, the most densely populated area on earth and we were getting bombed on the daily, that no americans would be willing to kill civillians? Americans shoot up their own civilians because some mexicans came over the border for christ sake. Expecting the Palestinians to have the patience of saints is unrealistic and silly. It doesn't make what they're doing right, but its a fact that unless the situation on the ground changes drastically its going to keep happening.","[0, 1, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 1, 1, 0, 1, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",3,3,4,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0]"
104,part3,train,"WOW the amount of radicals supporting terrorism here! Un-fucking-believable .. There is NO JUSTIFICATION for what's happening in Isreal. It is NOT NORMAL... I'm not a republican, fuck the church, I'm a human being who recognizes genocide and terrorism when I fucking see it. Let me be absolutely clear; if you're not 100% with Isreal here; you are a radical terrorism supporter.. if you want to bring up crimes committed by Isreal out of context like this hasnt been happening to them since they existed, go join the terrorists because you are one.","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",2,1,2,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
105,part3,train,"The third issue I'd like to address is the idea of apartheid. The Palestinians see themselves as a separate state. The Israelis concur. Is it apartheid to draw borders and then protect those borders from a hostile people? Here is an example I like to use. If the Mexican people decided to start lobbing missiles across the border into American towns, and they continued to do this daily, for years on end, how would America react? We were attacked by terrorists once in 2001, and we started two wars and devastated two countries. I personally think Israel has shown inhuman restraint in how they have handled an ongoing and direct threat to their people. This is all juxtaposed next to the fact that there is a still a sizable Arab, Muslim population in Israel, who want nothing to do with Palestine and love the lives they lead in Israel.

","[1, 0, 1, 0, 0, 0, 0, 1, 0, 1]","[1, 0, 0, 0, 0, 1, 0, 1, 0, 1]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 1]",5,5,4,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
106,part3,train,"Why would anyone reflexively take the side of the weaker party rather than what they are doing? Hamas hides behind civilians as shields while they indiscriminately launch rockets at Israeli civilians, caring nothing for who they hit and hoping Israel kills Innocents trying to counterstrike so they can get the optics. Hamas will only settle for the extermination of Israel. Relative strength is a terrible metric for who you support.

","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[1, 0, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",4,5,5,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
107,part3,train,"Israel needs to make a concerted effort towards peace and this might mean things like you are going to have to grin and bear a couple of terror attacks because they're going to happen and it can't be the case that every time Israel loses three soldiers, they go in and they kill 50 civilians","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2,1,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
108,part3,train,"I saw a sign at a pro-Hamas ""protest"". It had English and Arabic on it.

In English it said:

""From the river to the sea, Palestine will be free""

In Arabic it said:

""From the river to the sea, Palestine will be Arab""

Yes, it's about genocide.","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",4,2,3,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
109,part3,train,"Two factors: Hamas has committed the most nightmarish of atrocities. It's a fact. AND Israel has not been so good to Gaza Palestinians. Or West Bank Palestinians. Israel does take over Palestinian homes.
I'm not pro-Palestinian.
Still: Netanyahu has courted the religious Right in the U.S. for decades. And (let's be clear) the Right is salivating over an apocalypse out of this. Just check YouTube.","[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 1, 1, 0, 0, 0]",2,2,1,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]"
110,part3,train,"In 2005, Israelis withdrew from the Gaza Strip. 
Gaza is an Israeli/Jew-free area. 
The Palestinians get more money than any other group on the planet. 
From the US, from the European Union, from Arab countries, 
from the UN. 
And what do they do with this money? 
Infrastructure? Education? 
No. They build tunnels and buy weapons to kill Jews","[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",5,5,5,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]"
111,part3,train,"Arab-Muslim Palestinians were resorting to violence, I would say, 
""Okay, maybe we are in the wrong."" 
But if the Palestinians were using violence before 1967 and before 1948, 
and almost all of the Arab-Muslim countries are dictatorships 
with high levels of violence and low levels of human rights,","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",4,4,4,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
112,part3,train,"clashes between the Jews and 
Palestinians began and the situation 
escalated into an unequal 
confrontation Zion forces were organized 
armed and trained while Palestinians had 
been exhausted after 30 years of British 
suppression","[0, 1, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 1, 0, 0]",2,2,3,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0]"
113,part3,train,The only reason these things perpetuate is because Israel is continually attacked ... leaving Gaza in 2005 ... Hamas takes over ... establishes a terrorist state ... to fire rockets and attack at Israel.,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",3,3,2,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
114,part3,train,"The fact that 17 of the 20 most dangerous countries for the 
LGBTQ community are Muslim has nothing to do with colonialism.","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 0, 1, 1]",3,4,3,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1]"
115,part3,train,"why is it genocidal to call for a state that is not apartheid you can have a state where
all citizens have equal rights Jews and Muslim","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",1,1,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
116,part3,train,"Look at the Jews: One-third of them were murdered by the Nazis, 
Israel has no oil, and it is surrounded by enemies. 
And yet we are successful. And it's not because of American money. 
Most of that money has to be used to 
buy military equipment from American companies.","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",4,4,4,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
117,part3,train,"not justifying the killing of civilians in any way but war is Hell let me tell 
you something you probably didn't know we also shoot our own soldiers when 
you have the Air Force the artillery the tanks and infantry we often shoot at one 
another and accidentally kill one another it is tragic and the Israeli 
Army does its best to prevent it but it does happen and it happens not just in 
Israel but in all armies and all wars","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1,2,2,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
118,part3,train,"And that gets us to my final point; you speak of all of these negotiations, but fail to mention why all of them failed; because of Palestinian rejection.
All of these agreements, regardless of whether you think they're good or not, were Israeli offers (or American offers endorsed by Israel) that the Palestinians rejected. To see that and then say that it's Israel working against the creation of a Palestian state when they're the only ones offering a viable two-state solution is ridiculous.","[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",5,5,3,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
119,part3,train,"I'm wondering, why those settlers came to
Palestinian land and colonized the land and
killing Palestinians, then there's people
want to say Hamas is territory!!! I'd like to
ask such people are u mad to say Hamas,
which it's in reality resistance, Hamas is
territory???? Palestinians native owners,
how they became settlers??

Palestine E& is the Arabic in original and
the first people who lived in Palestine are
Canaanites almost about 5000 years
before christ BC. Then those illegal settlers
came during 30s last century and said this
is our original land??? How a) ?
Furthermore, Israelis are killing, murdering,
associating Palestinians people during
whole colonization period.","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 1, 1, 0]",2,1,3,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
120,part3,train,"Israel has taken a dramatically less than proportionate response to the constant threat of terrorism. When Israel started building a fence to prevent suicide bombers from infiltrating - which is working, by the way - that was called apartheid and a crime against humanity. If Israel wanted to destroy the Palestinians they could wipe them all out in a day. Jordan killed more Palestinians (mostly civilians) in a single month in 1970 than have been killed by Israel (mostly terrorists) in almost 70 years of conflict. Israel goes out of its way to protect Palestinian civilians, even at the expense of the lives of Israeli soldiers. When Hamas fires rockets from civilian areas into Israeli civilian areas (they especially like to target schools), Israel retaliates by bombing the rocket sites - and drops fliers and makes phone calls ahead of time to Palestinians living in the area to make sure that they get out.","[1, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",5,5,4,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
121,part3,train,"Israel is kill 3,500 children in the past 3 weeks that's more children that's more children than have died in conflicts around the world in each of the last 
four years","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 1, 0, 1, 0]",4,4,5,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
122,part3,train,"Side note - this assumption the Palestinians have zero agency in the situation is exactly the victimhood mentality which leads to justifying horrible acts of terrorism. The Palestinians are not powerless. They are a group of highly capable and resourceful people, and while it's really unfortunate they use their capabilities to initiate October 7th, this horrendous act of terror also prove that with the right goals they can achieve much good for themselves.","[0, 0, 0, 1, 0, 1, 0, 0, 1, 0]","[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",5,5,4,"[0, 0, 0, 1, 0, 1, 0, 0, 1, 0]"
123,part3,train,"They pulled out 8,000 people from Gaza because it wasn't worth the protection of that settlement to give an experiment in good faith and Good Will to see if a Palestinian State could be created.","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",3,3,1,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
124,part3,train,"what response do you have about the great March of return which is which is a very well-documented 
incident where peacefully Palestinian civilians just march to their own land 
that they have a right to go and return to but they were killed shot at and 
murdered in Cold Blood","[0, 1, 1, 0, 0, 0, 0, 0, 1, 0]","[0, 1, 1, 0, 0, 0, 0, 0, 1, 0]","[0, 1, 1, 0, 0, 0, 0, 0, 1, 0]",4,5,5,"[0, 1, 1, 0, 0, 0, 0, 0, 1, 0]"
125,part3,train,"�Yes, raping and murdering children is bad, but have you considered Israel builds houses in places they shouldn�t build houses?�

Unbe fucking lievable","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 0, 0, 1, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1,1,4,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
126,part3,train,"No I have not changed my mind. I�ve known all along that it is Hamas that is the problem. Think about this for one minute. Israel does not want to harm or kill innocent Palestinian civilians. If they did, the �occupation� would have been complete and final. To the degree that Palestinians embrace terrorism and support Hamas, they will continue to invite war.","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",2,4,4,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
127,part3,train,"there's a vast disparity between the number of
Palestinians being killed and the number of Israelis this isn't a conflict this isn't a conflict 
his is one-sided ethnic cleansing","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",3,3,3,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
128,part3,train,"It's been awhile since I read the text of this Article, I guess, because that's a very broad definition. Are military operations intended to destroy a 300,000 strong German army group in WW2 a genocide because it's intended to destroy a part of a national group -- i.e., 300,000 Germans? 

What about firebombing Tokyo? Or sinking merchant ships in the Pacific? 

This feels like a definition that's relying a lot on ""I know it when I see it"" on behalf of the observers, which isn't very useful as a definition.","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1,3,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
129,part3,train,"neither side can be justified but it is seriously worrying to see people change their opinion this way, you thought palestinian people would play fair after undergoing what they have been through? only thing you need to get right is that most israelis have gone through mandatory military service even women so the civil casualties may not be equivalent. on the other side some palestinians are brutal and barbaric but war have always been like this. i am not telling you to side with hamas or israel but dont be a hypocrit and dont let the media shape vour opinion have vour own","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",2,1,4,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
130,part3,train,"I don't get how pro-Palestinian protestors can insist that their movement isn't antisemitic, despite loads of examples of antisemitic banners, chants, slogans, targeting Jewish businesses, etc at pro-Palestine protests. But I'm yet to hear of them removing these people from their movement, even though they'll insist they're the outliers. If you're gathering with people chanting ""gas the Jews"" and putting graffiti on Jewish-owned cafes, or even those who think October 7 was justifiable, then you need to stop and think about what your movement actually stands for.","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",3,3,4,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
131,part3,train,"others another reason why there are so many Palestinian casualties and another 
fundamental difference between Israel and Hamas is that Israel does everything 
it can to protect civilians and children Israel developed the iron dome system and 
air defense system that intercept Rockets","[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",5,5,5,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
132,part3,train,"when the British and the French drew lines on maps, they invented two nations that never existed before: the Palestinians 
and the Jordanians","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1,1,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
133,part3,train,They are discriminated against because they literally want the Jews dead. Not because of the color of thier skin. If groups of people wanted you and your family dead you too would make sure they don't have the means to do it.,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",3,2,5,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
134,part3,train,"Nothing has changed. The vast majority of deaths have been palestinian civilians. Its all civilians being massacred by fundie power mongers. Far-right war hawks in Israel and terrorist warlords in Gaza. Neither 'side' wants peace. They want endless war, to stay in control of their faction. Its the innocents who suffer. Screw Hamas and screw the Israeli warhawks.","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 1, 1, 0, 0, 1, 0, 0, 1, 0]","[0, 1, 1, 0, 0, 0, 0, 0, 1, 0]",3,3,4,"[0, 1, 1, 0, 0, 0, 0, 0, 1, 0]"
135,part3,train,"I want to argue specifically to the Jewish claim to the area based off the Bible.

Ignore the Bible. Doesn't matter.

The Jewish residency in the area is well documented in the literature from the Roman Empire, the best source being Josephus (but also Strabo, Cicero, and other historians and philosophers of the time). The name Palestine is actually originally Roman- Palestina- which the Romans named the area previously known as Judea before the Romans quelled the Bar Kokhba revolt. The Dead Sea scrolls are scrolls found from that time period that discuss Jewish life in the region.

The archaeology record goes back even further. Pottery shards with early Hebrew writing have been found that go back to the 8th century BCE.

The archaeology record for the British, Spanish, and other colonial projects start when they first came there. They didn't have documented anywhere in their cultural writings about living there in previous years.

The Jewish claim to the area has nothing to do with settler colonialism and everything about being indigenous. This obviously doesn't undermine the Palestinian claim- the two claims coexist.","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",1,4,1,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
136,part3,train,"The Palestinians are left feeling like negotiating didn't work and violence didn't work, that 
they're stuck under an ever-growing occupation with no future as a people","[0, 1, 1, 0, 0, 0, 0, 0, 1, 0]","[0, 1, 1, 0, 0, 0, 0, 0, 1, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",2,4,4,"[0, 1, 1, 0, 0, 0, 0, 0, 1, 0]"
137,part3,train,"There's no question less significant as to why Israel de-occupied Gaza. No matter the motivation behind it, For the Palestinians it was the chance of a lifetime.

A chance to show the world that they were capable of self-governance and of being good neighbours.

A chance to take the working factories, farms, and infrastructure Israel left behind, along with the billians of funding they received, to make Gaza prosperous.

A chance to be free.

But of course, Palestine blew it completely.","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]","[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",4,4,2,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
138,part3,train,"Practically nobody sane accepts this interpretation of events, considering Israel never had any claim to these lands in the first place. 

Israel's own high court, in several cases, has ruled that the territories are under occupation: 

""The Judea and Samaria Area is held by the State of Israel in belligerent occupation. The long arm of the state in the area is the military commander. He is not the sovereign in the territory held in belligerent occupation (see The Beit Sourik Case, at p. 832). His power is granted him by public international law regarding belligerent occupation. The legal meaning of this view is twofold: first, Israeli law does not apply in these areas. They have not been ""annexed"" to Israel. Second, the legal regime which applies in these areas is determined by public international law regarding belligerent occupation (see HCJ 1661/05 The Gaza Coast Regional Council v. The Knesset et al. (yet unpublished, paragraph 3 of the opinion of the Court; hereinafter � The Gaza Coast Regional Council Case). In the center of this public international law stand the Regulations Concerning the Laws and Customs of War on Land, The Hague, 18 October 1907 (hereinafter � The Hague Regulations). These regulations are a reflection of customary international law. The law of belligerent occupation is also laid out in IV Geneva Convention Relative to the Protection of Civilian Persons in Time of War 1949 (hereinafter � the Fourth Geneva Convention)."" 

https://en.m.wikipedia.org/wiki/Israeli-occupied_territories","[0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[0, 1, 1, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",2,4,2,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0]"
139,part3,train,"After 1948, the Palestinians had years to establish a free Palestinian state 
as they were under Egyptian and Jordanian rule. Yet they didn't do that.","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",4,5,2,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
140,part3,train,"This is the single most devastating event for the palestinian cause.

If until now the Palestinians hated the israelis (how much? You tell me) and Israelis hated the palestinians but wanted to appease Hamas for quiet, now that turned to blind hate, the israelis will never negotiate with gaza again, will never let them work in israel again, will never provide them with electricity, water and commodities again and will bomb them again at the slightest provocation.

There is no chance for a non violent solution (I'm not even bothering to write the word peace) and the two state solution is dead.","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",3,4,3,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
141,part3,train,"Israel has been killing innocent Palistinian kids women old for.75 years but never showed on TVs and media they taking kids as presoners no one talks, kicking Palestinians out of their houses and demolish them to build resettlmemts for their people and no one talks. What do you expect the reaction. What Hamas did is about time to stand for their rights and dignity Finally don't believe what the Israelis are saying","[0, 0, 1, 0, 1, 0, 0, 1, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 0, 1, 0]","[0, 1, 1, 0, 0, 0, 0, 0, 1, 0]",2,4,4,"[0, 1, 1, 0, 0, 0, 0, 0, 1, 0]"
142,part3,train,"The ethnical cleansing in the west bank and east Jerusalem discusts me.

https://youtu.be/_hwJczFoDhc?si=8IbO9MTVuf3DvbZd

But to use it as argument to kill civilians is ofc idiotic","[0, 0, 1, 1, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",2,2,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
143,part3,train,"I think we should pay attention to what the side accused of genocide is saying:

Speaking on Tuesday morning, IDF spokesperson R Adm Daniel Hagari made the startling admission that �hundreds of tons of bombs� had already been dropped on the tiny strip, adding that �the emphasis is on damage and not on accuracy�.

Israeli President Isaac Herzog said �it is an entire nation out there that is responsible � We will fight until we break their backbone.

""I literally don't care about Gaza. They can go swimming in the sea� -Maya Golan, Israeli Minister of Women's Affairs

Defense Minister Yoav Gallant says he has ordered a �complete siege� of the Gaza Strip, as Israel fights the Hamas terror group.

�I have ordered a complete siege on the Gaza Strip. There will be no electricity, no food, no fuel, everything is closed,� Gallant says following an assessment at the IDF Southern Command in Beersheba.

�We are fighting human animals, and we are acting accordingly,� he adds.

Whether or not they're committing genocide, their words and actions aren't helping their already blood-stained colonizer image.

And the arguments that justify this by saying Hamas being terrorists, are using them as human shields is sickening, isn't Israel supposed to have the moral high ground? or are they just another terrorist?","[0, 0, 1, 0, 0, 1, 1, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 1, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 1, 0, 1, 0]",4,5,4,"[0, 0, 1, 0, 0, 0, 1, 0, 1, 0]"
144,part3,train,"But Israel didn't just start dropping bombs out of the blue, did it? If I recall it correctly, Israel was brutally attacked which led to hundreds of civilian casualties.
What was Israel supposed to do? Start knocking at the doors of Gaza residents and asking them if they could have a friendly chat with Hamas militants?? War is ugly. So maybe we shouldn't provoke it in the first place?","[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",3,3,2,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
145,part3,train,"It drives me crazy that the media almost ubiquitously decided to refer to Hamas members in the October 7th attacks as �militants�. According to the EU, Canada, US, and most countries, they�re a terrorist organization. It is not more objective to refer to them this way. Any other term dilutes the evil actions of the organization and creates a false moral equilavency. Stop distorting reality and rationalizing evil. They did not kill 1200 civilians because they were oppressed. They want to kill Jews that was their only motivation. Even as the economic situation improved in Gaza, the rockets continued.","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",5,4,5,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
146,part3,train,The significance of the disengagement plan is the freezing of the peace process ... the disengagement plan makes it possible for Israel to part conveniently in an interim situation that distances us as far as possible from political pressure ... it legitimizes our contention that there is no negotiating with the Palestinians.,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",3,3,2,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
147,part3,train,"Majority of pro-palistinians are just racist antisemitic propaganda machines or naive and gullible hateful, mostly young, idiots that believe this propaganda. And now, they've majorly crossed the line to unimaginable proportions.

Literally, I have been asking ppl to give proof of racist accusations like genocide/apartheid/ ethnic cleansing ..... To this day, I've not received 1 piece of proof. 0 evidence . My question are met with changing the subject or just silence. 30 years !","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",3,2,3,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
148,part3,train,"And let's also remember that the people that were killed by Hamas, the people that are hostages, those 
that are Israeli, by the way, these are not, this isn't a settler population. This isn't a hard-right population. 
This was a progressive population. These were the people in Israel that were most interested in making peace 
with the Palestinians. And so you now have a situation where people that I know, friends of mine in Israel that I would consider 
to be very thoughtful, moderate politically, that are saying, ""I wanna level this place. 
I wanna make it a parking lot."" Not not differentiating between Hamas fighters 
and Palestinian civilians and Palestinian women and children. That, that, I mean, to you and I that sounds insane, 
but, but on the back of what the Israelis have just experienced, that is the emotion 
that is coming out.","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",4,5,4,"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
